_id;album;musica;compositor;genero
425;Greatest Hits II;It's A Hard Life;Freddie Mercury;Rock
426;Greatest Hits II;Breakthru;Queen;Rock
427;Greatest Hits II;Who Wants To Live Forever;Brian May;Rock
428;Greatest Hits II;Headlong;Queen;Rock
429;Greatest Hits II;The Miracle;Queen;Rock
430;Greatest Hits II;I'm Going Slightly Mad;Queen;Rock
431;Greatest Hits II;The Invisible Man;Queen;Rock
432;Greatest Hits II;Hammer To Fall;Brian May;Rock
433;Greatest Hits II;Friends Will Be Friends;Freddie Mercury & John Deacon;Rock
434;Greatest Hits II;The Show Must Go On;Queen;Rock
435;Greatest Hits II;One Vision;Queen;Rock
436;Greatest Kiss;Detroit Rock City;Paul Stanley, B. Ezrin;Rock
437;Greatest Kiss;Black Diamond;Paul Stanley;Rock
438;Greatest Kiss;Hard Luck Woman;Paul Stanley;Rock
439;Greatest Kiss;Sure Know Something;Paul Stanley, Vincent Poncia;Rock
440;Greatest Kiss;Love Gun;Paul Stanley;Rock
441;Greatest Kiss;Deuce;Gene Simmons;Rock
442;Greatest Kiss;Goin' Blind;Gene Simmons, S. Coronel;Rock
443;Greatest Kiss;Shock Me;Ace Frehley;Rock
444;Greatest Kiss;Do You Love Me;Paul Stanley, B. Ezrin, K. Fowley;Rock
445;Greatest Kiss;She;Gene Simmons, S. Coronel;Rock
446;Greatest Kiss;I Was Made For Loving You;Paul Stanley, Vincent Poncia, Desmond Child;Rock
447;Greatest Kiss;Shout It Out Loud;Paul Stanley, Gene Simmons, B. Ezrin;Rock
448;Greatest Kiss;God Of Thunder;Paul Stanley;Rock
449;Greatest Kiss;Calling Dr. Love;Gene Simmons;Rock
450;Greatest Kiss;Beth;S. Penridge, Bob Ezrin, Peter Criss;Rock
451;Greatest Kiss;Strutter;Paul Stanley, Gene Simmons;Rock
452;Greatest Kiss;Rock And Roll All Nite;Paul Stanley, Gene Simmons;Rock
453;Greatest Kiss;Cold Gin;Ace Frehley;Rock
454;Greatest Kiss;Plaster Caster;Gene Simmons;Rock
455;Greatest Kiss;God Gave Rock n Roll To You;Paul Stanley, Gene Simmons, Rus Ballard, Bob Ezrin;Rock
489;Into The Light;Into The Light;David Coverdale;Rock
490;Into The Light;River Song;David Coverdale;Rock
491;Into The Light;She Give Me ...;David Coverdale;Rock
492;Into The Light;Don't You Cry;David Coverdale;Rock
493;Into The Light;Love Is Blind;David Coverdale/Earl Slick;Rock
494;Into The Light;Slave;David Coverdale/Earl Slick;Rock
495;Into The Light;Cry For Love;Bossi/David Coverdale/Earl Slick;Rock
496;Into The Light;Living On Love;Bossi/David Coverdale/Earl Slick;Rock
497;Into The Light;Midnight Blue;David Coverdale/Earl Slick;Rock
498;Into The Light;Too Many Tears;Adrian Vanderberg/David Coverdale;Rock
499;Into The Light;Don't Lie To Me;David Coverdale/Earl Slick;Rock
500;Into The Light;Wherever You May Go;David Coverdale;Rock
543;MK III The Final Concerts [Disc 1];Burn;Coverdale/Lord/Paice;Rock
544;MK III The Final Concerts [Disc 1];Stormbringer;Coverdale;Rock
545;MK III The Final Concerts [Disc 1];Gypsy;Coverdale/Hughes/Lord/Paice;Rock
546;MK III The Final Concerts [Disc 1];Lady Double Dealer;Coverdale;Rock
547;MK III The Final Concerts [Disc 1];Mistreated;Coverdale;Rock
548;MK III The Final Concerts [Disc 1];Smoke On The Water;Gillan/Glover/Lord/Paice;Rock
549;MK III The Final Concerts [Disc 1];You Fool No One;Coverdale/Lord/Paice;Rock
550;Physical Graffiti [Disc 1];Custard Pie;Jimmy Page/Robert Plant;Rock
551;Physical Graffiti [Disc 1];The Rover;Jimmy Page/Robert Plant;Rock
552;Physical Graffiti [Disc 1];In My Time Of Dying;John Bonham/John Paul Jones;Rock
553;Physical Graffiti [Disc 1];Houses Of The Holy;Jimmy Page/Robert Plant;Rock
554;Physical Graffiti [Disc 1];Trampled Under Foot;John Paul Jones;Rock
555;Physical Graffiti [Disc 1];Kashmir;John Bonham;Rock
570;Supernatural;(Da Le) Yaleo;Santana;Rock
571;Supernatural;Love Of My Life;Carlos Santana & Dave Matthews;Rock
572;Supernatural;Put Your Lights On;E. Shrody;Rock
573;Supernatural;Africa Bamba;I. Toure, S. Tidiane Toure, Carlos Santana & K. Perazzo;Rock
574;Supernatural;Smooth;M. Itaal Shur & Rob Thomas;Rock
575;Supernatural;Do You Like The Way;L. Hill;Rock
576;Supernatural;Maria Maria;W. Jean, J. Duplessis, Carlos Santana, K. Perazzo & R. Rekow;Rock
577;Supernatural;Migra;R. Taha, Carlos Santana & T. Lindsay;Rock
578;Supernatural;Corazon Espinado;F. Olivera;Rock
579;Supernatural;Wishing It Was;Eale-Eye Cherry, M. Simpson, J. King & M. Nishita;Rock
580;Supernatural;El Farol;Carlos Santana & KC Porter;Rock
581;Supernatural;Primavera;KC Porter & JB Eckl;Rock
582;Supernatural;The Calling;Carlos Santana & C. Thompson;Rock
620;The Final Concerts (Disc 2);Space Truckin';Blackmore/Gillan/Glover/Lord/Paice;Rock
621;The Final Concerts (Disc 2);Going Down / Highway Star;Gillan/Glover/Lord/Nix - Blackmore/Paice;Rock
622;The Final Concerts (Disc 2);Mistreated (Alternate Version);Blackmore/Coverdale;Rock
623;The Final Concerts (Disc 2);You Fool No One (Alternate Version);Blackmore/Coverdale/Lord/Paice;Rock
675;Chronicle, Vol. 1;Susie Q;Hawkins-Lewis-Broadwater;Rock
676;Chronicle, Vol. 1;I Put A Spell On You;Jay Hawkins;Rock
677;Chronicle, Vol. 1;Proud Mary;J. C. Fogerty;Rock
678;Chronicle, Vol. 1;Bad Moon Rising;J. C. Fogerty;Rock
679;Chronicle, Vol. 1;Lodi;J. C. Fogerty;Rock
680;Chronicle, Vol. 1;Green River;J. C. Fogerty;Rock
681;Chronicle, Vol. 1;Commotion;J. C. Fogerty;Rock
682;Chronicle, Vol. 1;Down On The Corner;J. C. Fogerty;Rock
683;Chronicle, Vol. 1;Fortunate Son;J. C. Fogerty;Rock
684;Chronicle, Vol. 1;Travelin' Band;J. C. Fogerty;Rock
685;Chronicle, Vol. 1;Who'll Stop The Rain;J. C. Fogerty;Rock
686;Chronicle, Vol. 1;Up Around The Bend;J. C. Fogerty;Rock
687;Chronicle, Vol. 1;Run Through The Jungle;J. C. Fogerty;Rock
688;Chronicle, Vol. 1;Lookin' Out My Back Door;J. C. Fogerty;Rock
689;Chronicle, Vol. 1;Long As I Can See The Light;J. C. Fogerty;Rock
690;Chronicle, Vol. 1;I Heard It Through The Grapevine;Whitfield-Strong;Rock
691;Chronicle, Vol. 1;Have You Ever Seen The Rain?;J. C. Fogerty;Rock
692;Chronicle, Vol. 1;Hey Tonight;J. C. Fogerty;Rock
693;Chronicle, Vol. 1;Sweet Hitch-Hiker;J. C. Fogerty;Rock
694;Chronicle, Vol. 1;Someday Never Comes;J. C. Fogerty;Rock
695;Chronicle, Vol. 2;Walking On The Water;J.C. Fogerty;Rock
696;Chronicle, Vol. 2;Suzie-Q, Pt. 2;J.C. Fogerty;Rock
697;Chronicle, Vol. 2;Born On The Bayou;J.C. Fogerty;Rock
698;Chronicle, Vol. 2;Good Golly Miss Molly;J.C. Fogerty;Rock
699;Chronicle, Vol. 2;Tombstone Shadow;J.C. Fogerty;Rock
700;Chronicle, Vol. 2;Wrote A Song For Everyone;J.C. Fogerty;Rock
701;Chronicle, Vol. 2;Night Time Is The Right Time;J.C. Fogerty;Rock
702;Chronicle, Vol. 2;Cotton Fields;J.C. Fogerty;Rock
703;Chronicle, Vol. 2;It Came Out Of The Sky;J.C. Fogerty;Rock
704;Chronicle, Vol. 2;Don't Look Now;J.C. Fogerty;Rock
705;Chronicle, Vol. 2;The Midnight Special;J.C. Fogerty;Rock
706;Chronicle, Vol. 2;Before You Accuse Me;J.C. Fogerty;Rock
707;Chronicle, Vol. 2;My Baby Left Me;J.C. Fogerty;Rock
708;Chronicle, Vol. 2;Pagan Baby;J.C. Fogerty;Rock
709;Chronicle, Vol. 2;(Wish I Could) Hideaway;J.C. Fogerty;Rock
710;Chronicle, Vol. 2;It's Just A Thought;J.C. Fogerty;Rock
711;Chronicle, Vol. 2;Molina;J.C. Fogerty;Rock
712;Chronicle, Vol. 2;Born To Move;J.C. Fogerty;Rock
713;Chronicle, Vol. 2;Lookin' For A Reason;J.C. Fogerty;Rock
714;Chronicle, Vol. 2;Hello Mary Lou;J.C. Fogerty;Rock
745;Come Taste The Band;Comin' Home;Bolin/Coverdale/Paice;Rock
746;Come Taste The Band;Lady Luck;Cook/Coverdale;Rock
747;Come Taste The Band;Gettin' Tighter;Bolin/Hughes;Rock
748;Come Taste The Band;Dealer;Bolin/Coverdale;Rock
749;Come Taste The Band;I Need Love;Bolin/Coverdale;Rock
750;Come Taste The Band;Drifter;Bolin/Coverdale;Rock
751;Come Taste The Band;Love Child;Bolin/Coverdale;Rock
752;Come Taste The Band;This Time Around / Owed to G [Instrumental];Bolin/Hughes/Lord;Rock
753;Come Taste The Band;You Keep On Moving;Coverdale/Hughes;Rock
754;Deep Purple In Rock;Speed King;Blackmore, Gillan, Glover, Lord, Paice;Rock
755;Deep Purple In Rock;Bloodsucker;Blackmore, Gillan, Glover, Lord, Paice;Rock
756;Deep Purple In Rock;Child In Time;Blackmore, Gillan, Glover, Lord, Paice;Rock
757;Deep Purple In Rock;Flight Of The Rat;Blackmore, Gillan, Glover, Lord, Paice;Rock
758;Deep Purple In Rock;Into The Fire;Blackmore, Gillan, Glover, Lord, Paice;Rock
759;Deep Purple In Rock;Living Wreck;Blackmore, Gillan, Glover, Lord, Paice;Rock
760;Deep Purple In Rock;Hard Lovin' Man;Blackmore, Gillan, Glover, Lord, Paice;Rock
761;Fireball;Fireball;Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice;Rock
762;Fireball;No No No;Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice;Rock
763;Fireball;Strange Kind Of Woman;Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice;Rock
764;Fireball;Anyone's Daughter;Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice;Rock
765;Fireball;The Mule;Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice;Rock
766;Fireball;Fools;Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice;Rock
767;Fireball;No One Came;Ritchie Blackmore, Ian Gillan, Roger Glover, Jon Lord, Ian Paice;Rock
768;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Knocking At Your Back Door;Richie Blackmore, Ian Gillian, Roger Glover;Rock
769;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Bad Attitude;Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord;Rock
770;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Child In Time (Son Of Aleric - Instrumental);Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice;Rock
771;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Nobody's Home;Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice;Rock
772;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Black Night;Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice;Rock
773;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Perfect Strangers;Richie Blackmore, Ian Gillian, Roger Glover;Rock
774;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;The Unwritten Law;Richie Blackmore, Ian Gillian, Roger Glover, Ian Paice;Rock
775;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Call Of The Wild;Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord;Rock
776;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Hush;South;Rock
777;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Smoke On The Water;Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice;Rock
778;Knocking at Your Back Door: The Best Of Deep Purple in the 80's;Space Trucking;Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice;Rock
779;Machine Head;Highway Star;Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover;Rock
780;Machine Head;Maybe I'm A Leo;Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover;Rock
781;Machine Head;Pictures Of Home;Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover;Rock
782;Machine Head;Never Before;Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover;Rock
783;Machine Head;Smoke On The Water;Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover;Rock
784;Machine Head;Lazy;Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover;Rock
785;Machine Head;Space Truckin';Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover;Rock
786;Purpendicular;Vavoom : Ted The Mechanic;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
787;Purpendicular;Loosen My Strings;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
788;Purpendicular;Soon Forgotten;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
789;Purpendicular;Sometimes I Feel Like Screaming;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
790;Purpendicular;Cascades : I'm Not Your Lover;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
791;Purpendicular;The Aviator;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
792;Purpendicular;Rosa's Cantina;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
793;Purpendicular;A Castle Full Of Rascals;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
794;Purpendicular;A Touch Away;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
795;Purpendicular;Hey Cisco;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
796;Purpendicular;Somebody Stole My Guitar;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
797;Purpendicular;The Purpendicular Waltz;Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice;Rock
798;Slaves And Masters;King Of Dreams;Blackmore, Glover, Turner;Rock
799;Slaves And Masters;The Cut Runs Deep;Blackmore, Glover, Turner, Lord, Paice;Rock
800;Slaves And Masters;Fire In The Basement;Blackmore, Glover, Turner, Lord, Paice;Rock
801;Slaves And Masters;Truth Hurts;Blackmore, Glover, Turner;Rock
802;Slaves And Masters;Breakfast In Bed;Blackmore, Glover, Turner;Rock
803;Slaves And Masters;Love Conquers All;Blackmore, Glover, Turner;Rock
804;Slaves And Masters;Fortuneteller;Blackmore, Glover, Turner, Lord, Paice;Rock
805;Slaves And Masters;Too Much Is Not Enough;Turner, Held, Greenwood;Rock
806;Slaves And Masters;Wicked Ways;Blackmore, Glover, Turner, Lord, Paice;Rock
807;Stormbringer;Stormbringer;D.Coverdale/R.Blackmore/Ritchie Blackmore;Rock
808;Stormbringer;Love Don't Mean a Thing;D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore;Rock
809;Stormbringer;Holy Man;D.Coverdale/G.Hughes/Glenn Hughes/J.Lord/John Lord;Rock
810;Stormbringer;Hold On;D.Coverdal/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord;Rock
811;Stormbringer;Lady Double Dealer;D.Coverdale/R.Blackmore/Ritchie Blackmore;Rock
812;Stormbringer;You Can't Do it Right (With the One You Love);D.Coverdale/G.Hughes/Glenn Hughes/R.Blackmore/Ritchie Blackmore;Rock
813;Stormbringer;High Ball Shooter;D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore;Rock
814;Stormbringer;The Gypsy;D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore;Rock
815;Stormbringer;Soldier Of Fortune;D.Coverdale/R.Blackmore/Ritchie Blackmore;Rock
816;The Battle Rages On;The Battle Rages On;ian paice/jon lord;Rock
817;The Battle Rages On;Lick It Up;roger glover;Rock
818;The Battle Rages On;Anya;jon lord/roger glover;Rock
819;The Battle Rages On;Talk About Love;roger glover;Rock
820;The Battle Rages On;Time To Kill;roger glover;Rock
821;The Battle Rages On;Ramshackle Man;roger glover;Rock
822;The Battle Rages On;A Twist In The Tail;roger glover;Rock
823;The Battle Rages On;Nasty Piece Of Work;jon lord/roger glover;Rock
824;The Battle Rages On;Solitaire;roger glover;Rock
825;The Battle Rages On;One Man's Meat;roger glover;Rock
826;Vault: Def Leppard's Greatest Hits;Pour Some Sugar On Me;;Rock
827;Vault: Def Leppard's Greatest Hits;Photograph;;Rock
828;Vault: Def Leppard's Greatest Hits;Love Bites;;Rock
829;Vault: Def Leppard's Greatest Hits;Let's Get Rocked;;Rock
830;Vault: Def Leppard's Greatest Hits;Two Steps Behind [Acoustic Version];;Rock
831;Vault: Def Leppard's Greatest Hits;Animal;;Rock
832;Vault: Def Leppard's Greatest Hits;Heaven Is;;Rock
833;Vault: Def Leppard's Greatest Hits;Rocket;;Rock
834;Vault: Def Leppard's Greatest Hits;When Love & Hate Collide;;Rock
835;Vault: Def Leppard's Greatest Hits;Action;;Rock
836;Vault: Def Leppard's Greatest Hits;Make Love Like A Man;;Rock
837;Vault: Def Leppard's Greatest Hits;Armageddon It;;Rock
838;Vault: Def Leppard's Greatest Hits;Have You Ever Needed Someone So Bad;;Rock
839;Vault: Def Leppard's Greatest Hits;Rock Of Ages;;Rock
840;Vault: Def Leppard's Greatest Hits;Hysteria;;Rock
841;Vault: Def Leppard's Greatest Hits;Bringin' On The Heartbreak;;Rock
949;King For A Day Fool For A Lifetime;Get Out;Mike Bordin, Billy Gould, Mike Patton;Rock
950;King For A Day Fool For A Lifetime;Ricochet;Mike Bordin, Billy Gould, Mike Patton;Rock
951;King For A Day Fool For A Lifetime;Evidence;Mike Bordin, Billy Gould, Mike Patton, Trey Spruance;Rock
952;King For A Day Fool For A Lifetime;The Gentle Art Of Making Enemies;Mike Bordin, Billy Gould, Mike Patton;Rock
953;King For A Day Fool For A Lifetime;Star A.D.;Mike Bordin, Billy Gould, Mike Patton;Rock
954;King For A Day Fool For A Lifetime;Cuckoo For Caca;Mike Bordin, Billy Gould, Mike Patton, Trey Spruance;Rock
955;King For A Day Fool For A Lifetime;Caralho Voador;Mike Bordin, Billy Gould, Mike Patton, Trey Spruance;Rock
956;King For A Day Fool For A Lifetime;Ugly In The Morning;Mike Bordin, Billy Gould, Mike Patton;Rock
957;King For A Day Fool For A Lifetime;Digging The Grave;Mike Bordin, Billy Gould, Mike Patton;Rock
958;King For A Day Fool For A Lifetime;Take This Bottle;Mike Bordin, Billy Gould, Mike Patton, Trey Spruance;Rock
959;King For A Day Fool For A Lifetime;King For A Day;Mike Bordin, Billy Gould, Mike Patton, Trey Spruance;Rock
960;King For A Day Fool For A Lifetime;What A Day;Mike Bordin, Billy Gould, Mike Patton;Rock
